Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/13/2026,05/14/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-6.25,
05/13/2026,05/14/2026,FUL*TONGA COURT PYMT,Personal,Sale,-3.00,
05/13/2026,05/14/2026,FUL*TONGA COURT PYMT,Personal,Sale,-2.50,
05/13/2026,05/14/2026,FULTONCOUNTY*CONV FEE,Bills & Utilities,Sale,-0.03,
05/13/2026,05/14/2026,FULTONCOUNTY*CONV FEE,Bills & Utilities,Sale,-0.03,
05/13/2026,05/14/2026,CVS/PHARMACY #03247,Health & Wellness,Sale,-241.21,
05/13/2026,05/14/2026,FULTONCOUNTY*CONV FEE,Bills & Utilities,Sale,-0.07,
05/13/2026,05/14/2026,FULTONCOUNTY*CONV FEE,Bills & Utilities,Sale,-0.08,
05/13/2026,05/14/2026,FUL*TONGA COURT PYMT,Personal,Sale,-1.00,
05/13/2026,05/14/2026,BOAT-ED.COM,Education,Sale,-97.94,
05/13/2026,05/14/2026,COLLECTION BUREAU OF AMER,Professional Services,Sale,-334.64,
05/13/2026,05/14/2026,GRAND CENTRAL OYSTER B,Food & Drink,Sale,-248.60,
05/14/2026,05/14/2026,FREEDOM BOAT CLUB LLC,Health & Wellness,Sale,-4343.91,
05/13/2026,05/14/2026,SPOTHERO 844-356-8054,Travel,Sale,-32.33,
05/12/2026,05/13/2026,LOCUST VAL*  LVHS  1 M,Education,Sale,-14.82,
05/13/2026,05/13/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
05/12/2026,05/13/2026,HARBORSIDE DELI,Groceries,Sale,-3.05,
05/10/2026,05/12/2026,SF NEW ENGLAND FOOD,Food & Drink,Sale,-16.03,
05/11/2026,05/12/2026,ANTHROPIC,Shopping,Sale,-217.25,
05/11/2026,05/12/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-217.25,
05/10/2026,05/12/2026,SF NEW ENGLAND FOOD,Food & Drink,Sale,-12.28,
05/09/2026,05/11/2026,TST*NAPLES PIZZA - FARMI,Food & Drink,Sale,-58.84,
05/09/2026,05/10/2026,Payment Thank You-Mobile,,Payment,12220.49,
05/09/2026,05/10/2026,CUMBERLAND FARMS 4693,Gas,Sale,-15.89,
05/08/2026,05/10/2026,SQ *YOUNGS FARM,Shopping,Sale,-170.14,
05/07/2026,05/10/2026,LOCUST VALLEY VET CLINIC,Personal,Sale,-40.28,
05/09/2026,05/10/2026,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.73,
05/08/2026,05/10/2026,GULF OIL 92050011,Gas,Sale,-48.32,
05/08/2026,05/10/2026,DD *DOORDASH MADCHICKE,Food & Drink,Sale,-22.61,
05/10/2026,05/10/2026,SP STORROR LIMITED,Shopping,Sale,-56.00,
05/07/2026,05/10/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
05/09/2026,05/10/2026,HLU*HULUPLUS,Bills & Utilities,Sale,-45.98,
05/08/2026,05/10/2026,TST* THE AINSWORTH - NY,Food & Drink,Sale,-20.50,
05/08/2026,05/10/2026,HUEL,Groceries,Sale,-64.99,
05/08/2026,05/10/2026,TST*THE ONION TREE,Food & Drink,Sale,-252.47,
05/08/2026,05/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-15.25,
05/08/2026,05/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-15.25,
05/07/2026,05/08/2026,LOCUST VALLEY CHEMISTS,Health & Wellness,Sale,-8.64,
05/08/2026,05/08/2026,TST* THE BAR ROOM NYC,Food & Drink,Sale,-42.84,
05/07/2026,05/08/2026,Peacock 119D8 PremPlus,Bills & Utilities,Sale,-16.99,
05/06/2026,05/08/2026,LOCUST VALLEY VET CLINIC,Personal,Sale,-943.07,
05/07/2026,05/08/2026,Hermes of Paris,Shopping,Sale,-1714.79,
05/05/2026,05/07/2026,H&amp;M  0018HICKSVILLE,Shopping,Sale,-31.38,
05/05/2026,05/07/2026,CHICK-FIL-A #03482,Food & Drink,Sale,-8.03,
05/07/2026,05/07/2026,GOOGLE *YouTube TV,Bills & Utilities,Sale,-9.99,
05/06/2026,05/07/2026,SP THE SPOT NY,Shopping,Sale,-181.00,
05/06/2026,05/07/2026,LOCUST VALLEY FLORIST,Shopping,Sale,-86.90,
05/06/2026,05/07/2026,SQ *PINONS PIZZA COMPANY,Food & Drink,Sale,-57.57,
05/07/2026,05/07/2026,GOOGLE *YouTube TV,Bills & Utilities,Sale,-82.99,
05/06/2026,05/07/2026,MARQUIS WINES &amp; SPIRITS,Food & Drink,Sale,-108.61,
05/05/2026,05/06/2026,TARGET        00018853,Shopping,Sale,-72.26,
05/06/2026,05/06/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
05/05/2026,05/06/2026,OXYLABS,Personal,Sale,-32.59,
05/05/2026,05/06/2026,SPEEDWAY 46893,Gas,Sale,-87.73,
05/05/2026,05/06/2026,OYSTER BAY SUPERSTAR,Food & Drink,Sale,-22.39,
05/04/2026,05/06/2026,WFUV,Gifts & Donations,Sale,-15.00,
05/04/2026,05/05/2026,HARBORSIDE DELI,Groceries,Sale,-20.06,
05/03/2026,05/05/2026,STARBUCKS STORE 00832,Food & Drink,Sale,-7.28,
05/03/2026,05/04/2026,ELDORADO.GG,Shopping,Sale,-0.84,
05/03/2026,05/04/2026,SQ *MAD CHICKEN,Food & Drink,Sale,-28.20,
05/03/2026,05/04/2026,ELDORADO.GG,Shopping,Sale,-2.41,
05/01/2026,05/03/2026,SPORTIME ROSLYN,Health & Wellness,Sale,-121.00,
05/01/2026,05/03/2026,MiniMall US Storage P,Professional Services,Sale,-105.16,
05/03/2026,05/03/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-217.25,
05/01/2026,05/03/2026,CHICKEN  BEER,Food & Drink,Sale,-22.00,
05/01/2026,05/03/2026,RON-A-ROLL INDOOR ROLL,Entertainment,Sale,-2.76,
05/01/2026,05/03/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-217.25,
05/01/2026,05/03/2026,TST*EMMY SQUARED - SANTA,Food & Drink,Sale,-52.82,
05/02/2026,05/03/2026,DD *DOORDASH CHIPOTLEM,Food & Drink,Sale,-36.48,
05/03/2026,05/03/2026,PAYPAL *POSITIONTRA,Travel,Sale,-300.00,
05/01/2026,05/03/2026,RON-A-ROLL INDOOR ROLL,Entertainment,Sale,-21.84,
05/01/2026,05/03/2026,WWW.BRAVE.COM,Shopping,Sale,-122.32,
05/03/2026,05/03/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-25.64,
05/01/2026,05/03/2026,GOOGLE *CLOUD xKRLWG,Bills & Utilities,Sale,-1.67,
05/01/2026,05/03/2026,TST*HARTFORD BAKING CO -,Food & Drink,Sale,-9.35,
04/30/2026,05/01/2026,COLLEGEBOARD*SAT ONLN.,Education,Return,24.00,
04/30/2026,05/01/2026,CHRISTINA'S EPICURE,Groceries,Sale,-76.75,
04/30/2026,05/01/2026,LE JOAILLIER FINE JEWELRY,Shopping,Sale,-1819.47,
04/30/2026,05/01/2026,SP HOSTED BY KG,Home,Sale,-63.01,
05/01/2026,05/01/2026,SP BRENTWOOD FINE WINE,Food & Drink,Sale,-164.63,
04/30/2026,05/01/2026,SQ *SANTA MONICA BREW WOR,Groceries,Sale,-21.87,
04/29/2026,05/01/2026,TRUMP LOS-RET,Entertainment,Sale,-910.67,
04/30/2026,05/01/2026,SQ *SANTA MONICA BREW WOR,Groceries,Sale,-10.80,
04/29/2026,05/01/2026,TRUMP LOS-F&amp;B,Food & Drink,Sale,-43.90,
05/01/2026,05/01/2026,WAYMO,Travel,Sale,-16.12,
